task_id,task_label,level,target_mode,feature_mode,model_id,model_label,forecast_origin_date,target_date,origin_sequence,season_phase,n_units,current_window_yield_g,forecasted_next_window_yield_g,observed_next_window_yield_g,aggregate_error_g,aggregate_absolute_error_g,forecast_change_vs_current_pct,observed_change_vs_current_pct,operational_flag
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,ridge,Ridge regression,2025-02-20,2025-02-26,7,late season,40,2256.0,2691.5383696588588,1099.0,1592.5383696588588,1592.5383696588588,19.30577879693523,-51.28546099290781,Stable window
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,ridge,Ridge regression,2025-02-26,2025-03-05,8,late season,40,1099.0,6235.289805813438,2126.0,4109.289805813438,4109.289805813438,467.36030990113176,93.44858962693358,Production flush risk
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,rolling_mean,Rolling mean baseline,2025-01-07,2025-01-15,1,early season,40,1210.0,12162.0,417.0,11745.0,11745.0,905.1239669421487,-65.53719008264463,Production flush risk
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,rolling_mean,Rolling mean baseline,2025-01-15,2025-01-24,2,early season,40,417.0,10666.5,101.0,10565.5,10565.5,2457.913669064748,-75.77937649880096,Production flush risk
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,rolling_mean,Rolling mean baseline,2025-01-24,2025-01-29,3,mid season,39,93.0,9068.0,66.0,9002.0,9002.0,9650.537634408602,-29.03225806451613,Production flush risk
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,rolling_mean,Rolling mean baseline,2025-01-29,2025-02-05,4,mid season,39,66.0,6725.5,487.0,6238.5,6238.5,10090.151515151516,637.8787878787879,Production flush risk
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,rolling_mean,Rolling mean baseline,2025-02-05,2025-02-12,5,mid season,40,487.0,4529.0,940.0,3589.0,3589.0,829.9794661190965,93.01848049281314,Production flush risk
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,rolling_mean,Rolling mean baseline,2025-02-12,2025-02-20,6,late season,40,940.0,3560.0,2256.0,1304.0,1304.0,278.72340425531917,140.0,Production flush risk
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,rolling_mean,Rolling mean baseline,2025-02-20,2025-02-26,7,late season,40,2256.0,3007.0,1099.0,1908.0,1908.0,33.28900709219858,-51.28546099290781,Production flush risk
plot_next_leading,Plot-level next yield · leading indicators,plot,next,leading,rolling_mean,Rolling mean baseline,2025-02-26,2025-03-05,8,late season,40,1099.0,2451.5,2126.0,325.5,325.5,123.06642402183803,93.44858962693358,Production flush risk
