season,feature_set,model_label,validation_scope,n_target_horizons,n_aggregate_rows,n_folds,mean_heldout_plots_per_row,aggregate_mae_g,aggregate_rmse_g,aggregate_r2,aggregate_correlation,aggregate_bias_predicted_minus_observed_g,aggregate_mae_improvement_pct_vs_last_observed_baseline
2324,paper_informed_nonreactive,Random Forest,held_out_cv_fold_aggregate_primary,3,15,5,8.0,382.46336954033626,508.0882197171219,0.3834390316248636,0.6457520410523961,47.86881284517946,28.306041700761764
2324,paper_informed_nonreactive,Extra Trees,held_out_cv_fold_aggregate_primary,3,15,5,8.0,420.2441613078891,535.3984350425375,0.31537623336621534,0.615900372922486,21.081192585326214,21.223913776326718
2324,paper_informed_nonreactive,Gradient Boosting,held_out_cv_fold_aggregate_primary,3,15,5,8.0,428.2385141100446,549.9957773659004,0.27753554126385227,0.5952891297753671,55.88672137129527,19.725347267549754
2324,paper_informed_nonreactive,HistGradientBoosting,held_out_cv_fold_aggregate_primary,3,15,5,8.0,492.1,576.3452018249711,0.20665307899575558,0.504677696598158,0.0,7.754311422144465
2324,paper_informed_nonreactive,Training horizon mean baseline,held_out_cv_fold_aggregate_primary,3,15,5,8.0,492.1,576.3452018249711,0.20665307899575558,0.504677696598158,0.0,7.754311422144465
2324,paper_informed_nonreactive,Cultivar horizon mean baseline,held_out_cv_fold_aggregate_primary,3,15,5,8.0,521.8593059446,604.9682582893571,0.12589630971458154,0.4525706152575659,-24.613554310613107,2.1758361763434175
2324,paper_informed_nonreactive,Ridge,held_out_cv_fold_aggregate_primary,3,15,5,8.0,529.8373471750614,603.195673642378,0.13101113291492494,0.5567273956229196,26.579573277487572,0.6803273228452853
2324,paper_informed_nonreactive,Last observed week-5 yield baseline,held_out_cv_fold_aggregate_primary,3,15,5,8.0,533.4666666666667,660.9332795373524,-0.043309151919584954,0.3369335408872165,252.53333333333333,0.0
2324,paper_informed_nonreactive,ElasticNet,held_out_cv_fold_aggregate_primary,3,15,5,8.0,566.1574224394286,648.1823864324848,-0.00344189070931189,0.5432757620956045,27.167665693928804,-6.127984711215055
2324,paper_informed_nonreactive,Observed 5-week mean yield baseline,held_out_cv_fold_aggregate_primary,3,15,5,8.0,1261.8266666666668,1397.4087781795752,-3.6638514684736876,0.4023030763182193,-1261.8266666666668,-136.53336665833544
2324,paper_informed_nonreactive,Zero yield baseline,held_out_cv_fold_aggregate_primary,3,15,5,8.0,2905.6666666666665,2976.8436416222244,-20.16458829004194,,-2905.6666666666665,-444.6763309172706
2425,paper_informed_nonreactive,Gradient Boosting,held_out_cv_fold_aggregate_primary,4,20,5,8.0,54.98494103213851,73.70017267626302,0.7021146360708888,0.8619671215280958,2.7285977620950606,75.4586293094673
2425,paper_informed_nonreactive,Random Forest,held_out_cv_fold_aggregate_primary,4,20,5,8.0,59.695442568324914,70.57345676123069,0.7268539434254527,0.8569224652370954,-0.7940195913019423,73.35619613107569
2425,paper_informed_nonreactive,Extra Trees,held_out_cv_fold_aggregate_primary,4,20,5,8.0,63.952835840466705,78.48199211201057,0.6622057978608828,0.8290133441839456,0.8155105636566276,71.45599828588854
2425,paper_informed_nonreactive,Cultivar horizon mean baseline,held_out_cv_fold_aggregate_primary,4,20,5,8.0,64.69068627450982,72.43648725852832,0.7122423238823026,0.8455113805904043,-3.1577497665732936,71.12667428051337
2425,paper_informed_nonreactive,HistGradientBoosting,held_out_cv_fold_aggregate_primary,4,20,5,8.0,69.575,81.96054691130361,0.6315981095463358,0.7991041294257657,0.0,68.94666369114037
2425,paper_informed_nonreactive,Training horizon mean baseline,held_out_cv_fold_aggregate_primary,4,20,5,8.0,69.575,81.96054691130361,0.6315981095463358,0.7991041294257657,0.0,68.94666369114037
2425,paper_informed_nonreactive,Ridge,held_out_cv_fold_aggregate_primary,4,20,5,8.0,84.05469707728642,99.7333166404248,0.45450260845152846,0.7947704647551217,-3.6483566008071904,62.48395577893934
2425,paper_informed_nonreactive,ElasticNet,held_out_cv_fold_aggregate_primary,4,20,5,8.0,110.14175012141224,139.7657325407836,-0.07130606802731276,0.6878672310216237,-10.81757418071754,50.840548930411856
2425,paper_informed_nonreactive,Last observed week-5 yield baseline,held_out_cv_fold_aggregate_primary,4,20,5,8.0,224.05,271.76837564367196,-3.0505126411166685,-0.22105301731181248,-223.65,0.0
2425,paper_informed_nonreactive,Observed 5-week mean yield baseline,held_out_cv_fold_aggregate_primary,4,20,5,8.0,229.46000000000004,267.41723298994776,-2.921849612933027,-0.21523507650483234,-229.46000000000004,-2.414639589377382
2425,paper_informed_nonreactive,Zero yield baseline,held_out_cv_fold_aggregate_primary,4,20,5,8.0,321.05,348.292046995047,-5.652720382346462,,-321.05,-43.2939076099085
