task_id,task_label,model_id,model_label,season_phase,n_predictions,mae,bias_predicted_minus_observed_g
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,late season,120,51.03475329379045,31.69282502528546
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,mid season,118,39.00264301559835,10.99508741091529
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,early season,80,103.36776148279827,103.36776148279827
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,late season,120,35.426979266705594,12.753693837098554
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,mid season,118,61.944461529298515,60.41525508432841
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,early season,80,112.10901714571162,112.10901714571162
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,late season,120,33.99615622717181,3.72507795655094
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,mid season,118,68.9265724219763,62.89402111204425
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,early season,80,27.420002675387128,26.534957842880413
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,late season,120,33.532896759500574,14.840849153431831
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,mid season,118,72.79359351173795,66.79242736250012
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,early season,80,16.4625,13.8625
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,late season,120,36.483333333333334,-9.883333333333333
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,mid season,118,11.313559322033898,-7.177966101694915
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,early season,80,82.66051143862754,82.66051143862754
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,late season,120,30.058597366215523,4.128802266439857
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,mid season,118,77.3765223995437,70.67120940550852
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,early season,80,205.51450904236412,99.51992748797552
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,late season,120,57.984885613905384,37.93048692019901
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,mid season,118,47.39633961183272,7.3269961548798275
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,early season,80,278.88125,278.88125
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,late season,120,45.25416666666667,29.479166666666668
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,mid season,118,159.77542372881356,159.57203389830508
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,early season,80,229.44190631660567,72.91775645335463
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,late season,120,55.102931479411076,37.57233582815752
plot_next_leading,Plot-level next yield · leading indicators,elasticnet,ElasticNet regression,mid season,118,42.14067323039482,-2.0810174938915824
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,early season,80,104.34129458573446,104.34129458573446
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,late season,120,34.22977686153714,13.161357927145014
plot_next_leading,Plot-level next yield · leading indicators,extra_trees,Extra Trees,mid season,118,69.57653689090687,68.51180755678773
plot_next_leading,Plot-level next yield · leading indicators,gradient_boosting,Gradient Boosting,early season,80,103.80597370202054,103.67499336139448
plot_next_leading,Plot-level next yield · leading indicators,gradient_boosting,Gradient Boosting,late season,120,34.733602218689086,16.31884631019441
plot_next_leading,Plot-level next yield · leading indicators,gradient_boosting,Gradient Boosting,mid season,118,72.52920077225514,65.95703923080086
plot_next_leading,Plot-level next yield · leading indicators,hist_gradient_boosting,HistGradientBoosting,early season,80,33.45013289997187,32.89762568075965
plot_next_leading,Plot-level next yield · leading indicators,hist_gradient_boosting,HistGradientBoosting,late season,120,38.36941854123532,20.407594393551634
plot_next_leading,Plot-level next yield · leading indicators,hist_gradient_boosting,HistGradientBoosting,mid season,118,73.66513036722368,66.3993712262683
plot_next_leading,Plot-level next yield · leading indicators,persistence,Persistence / no-change baseline,early season,80,16.4625,13.8625
plot_next_leading,Plot-level next yield · leading indicators,persistence,Persistence / no-change baseline,late season,120,36.483333333333334,-9.883333333333333
plot_next_leading,Plot-level next yield · leading indicators,persistence,Persistence / no-change baseline,mid season,118,11.313559322033898,-7.177966101694915
plot_next_leading,Plot-level next yield · leading indicators,random_forest,Random Forest,early season,80,94.14843281051303,94.14843281051303
plot_next_leading,Plot-level next yield · leading indicators,random_forest,Random Forest,late season,120,29.21470152878475,6.2528585673917405
plot_next_leading,Plot-level next yield · leading indicators,random_forest,Random Forest,mid season,118,69.7901809683596,63.562072126648644
plot_next_leading,Plot-level next yield · leading indicators,ridge,Ridge regression,early season,80,248.58447311600995,80.90111734838455
plot_next_leading,Plot-level next yield · leading indicators,ridge,Ridge regression,late season,120,61.58517581409954,42.34175366482061
plot_next_leading,Plot-level next yield · leading indicators,ridge,Ridge regression,mid season,118,54.339503363837,-4.825827613970777
plot_next_leading,Plot-level next yield · leading indicators,rolling_mean,Rolling mean baseline,early season,80,278.88125,278.88125
plot_next_leading,Plot-level next yield · leading indicators,rolling_mean,Rolling mean baseline,late season,120,45.25416666666667,29.479166666666668
plot_next_leading,Plot-level next yield · leading indicators,rolling_mean,Rolling mean baseline,mid season,118,159.77542372881356,159.57203389830508
