season,feature_set,model_label,target_horizon_index,target_date,fold_id,importance_method,feature,input_week,base_feature,feature_group,weather_driver,normalized_importance
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w2_tmean_2m_c_7d_mean,w2,tmean_2m_c_7d_mean,Other,Other weather,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w2_soil_temp_mean_c_7d_mean,w2,soil_temp_mean_c_7d_mean,Weather / GDD,Temperature,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w2_rh_mean_pct_7d_mean,w2,rh_mean_pct_7d_mean,Weather / GDD,Humidity / dew point,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w2_rainfall_in_7d_sum,w2,rainfall_in_7d_sum,Weather / GDD,Rainfall,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w2_solar_radiation_mean_wm2_7d_mean,w2,solar_radiation_mean_wm2_7d_mean,Weather / GDD,Solar radiation,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w2_gdd_base_10_c_7d_sum,w2,gdd_base_10_c_7d_sum,Weather / GDD,Growing degree days,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w2_cumulative_gdd_base_10_c,w2,cumulative_gdd_base_10_c,Weather / GDD,Growing degree days,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w2_cumulative_rainfall_in,w2,cumulative_rainfall_in,Weather / GDD,Rainfall,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w2_cumulative_solar_radiation_sum_wm2_records,w2,cumulative_solar_radiation_sum_wm2_records,Weather / GDD,Solar radiation,0.0
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_flower_count,w3,flower_count,Phenology counts,Other weather,0.03809787694459621
2324,paper_informed_nonreactive,Ridge,1,2024-02-13,1,absolute_standardized_coefficient,w3_green_fruit_count,w3,green_fruit_count,Phenology counts,Other weather,0.03505525021741802
