season,feature_set,target_horizon_index,target_date,model_label,validation_protocol,n_predictions,n_plots,n_model_features,mae,rmse,r2,correlation,bias_predicted_minus_observed_g,mae_improvement_pct_vs_last_observed_baseline,n_target_horizons
2324,paper_informed_nonreactive,3,2024-02-27,Cultivar horizon mean baseline,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,0,153.31819152661063,177.85850243821878,-0.29225003675409167,-0.41362956718626437,-3.042121848739484,-12.279891268114698,
2324,paper_informed_nonreactive,3,2024-02-27,Last observed week-5 yield baseline,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,0,136.55,181.30512954684983,-0.34281898776821373,0.42077453838947265,17.65,0.0,
2324,paper_informed_nonreactive,3,2024-02-27,Observed 5-week mean yield baseline,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,0,178.10500000000002,217.98956167670048,-0.9411928675551733,0.5133237620872623,-171.64499999999998,-30.432076162577815,
2324,paper_informed_nonreactive,3,2024-02-27,Zero yield baseline,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,0,377.125,408.29251156493183,-5.809890363662569,,-377.125,-176.18088612229948,
2324,paper_informed_nonreactive,3,2024-02-27,Ridge,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,131.84591304230258,168.33107937967128,-0.157513079656042,0.33921648564612467,8.578475635928452,3.444955662905476,
2324,paper_informed_nonreactive,3,2024-02-27,ElasticNet,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,168.39534276114776,208.2237066908566,-0.7711593547033615,0.3082561160520972,14.543197348340374,-23.32137880713859,
2324,paper_informed_nonreactive,3,2024-02-27,Random Forest,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,131.14443144633142,160.47937826095077,-0.05204848890160063,0.16558328261122832,8.167989961889973,3.9586734190176394,
2324,paper_informed_nonreactive,3,2024-02-27,Extra Trees,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,125.69099298676402,159.2558682242722,-0.03606780574485091,0.23130120246576027,3.8091732071671145,7.952403524889047,
2324,paper_informed_nonreactive,3,2024-02-27,Gradient Boosting,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,139.70370840493396,175.9645598758231,-0.26487528234181124,0.013294843543823681,5.187827168024438,-2.3095630940563536,
2324,paper_informed_nonreactive,3,2024-02-27,HistGradientBoosting,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,98,141.6875,166.35797832723563,-0.13053642249008512,-0.4817309945327213,0.0,-3.7623581105821957,
2425,paper_informed_nonreactive,1,2025-02-12,Training horizon mean baseline,within-season 5-fold CV over plots; fixed input history; horizon-specific models,40,40,0,20.478125,26.108786835086768,-0.042944843941248534,-0.27630850372163024,0.0,-6.795958279009115,
