season,feature_set,model_label,fold_id,input_start_date,input_end_date,target_horizon_index,target_date,n_heldout_plots,observed_total_yield_g,predicted_total_yield_g,last_observed_total_yield_baseline_g,mean_observed_history_total_yield_baseline_g,aggregate_error_g,aggregate_abs_error_g,validation_scope
2324,paper_informed_nonreactive,ElasticNet,4,2024-01-08,2024-02-06,1,2024-02-13,8,4173.0,3284.6390736905496,3554.0,1863.2,-888.3609263094504,888.3609263094504,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,ElasticNet,4,2024-01-08,2024-02-06,2,2024-02-20,8,2408.0,2234.3259922587963,3554.0,1863.2,-173.6740077412037,173.6740077412037,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,ElasticNet,4,2024-01-08,2024-02-06,3,2024-02-27,8,3510.0,2993.6705849676227,3554.0,1863.2,-516.3294150323773,516.3294150323773,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,ElasticNet,5,2024-01-08,2024-02-06,1,2024-02-13,8,2909.0,1904.6180522760644,3069.0,1540.6,-1004.3819477239356,1004.3819477239356,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,ElasticNet,5,2024-01-08,2024-02-06,2,2024-02-20,8,2039.0,2622.628020223397,3069.0,1540.6,583.628020223397,583.628020223397,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,ElasticNet,5,2024-01-08,2024-02-06,3,2024-02-27,8,2843.0,2711.2413300809567,3069.0,1540.6,-131.7586699190433,131.7586699190433,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,1,2024-01-08,2024-02-06,1,2024-02-13,8,3534.0,3791.412428090428,2747.0,1405.6,257.41242809042797,257.41242809042797,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,1,2024-01-08,2024-02-06,2,2024-02-20,8,2468.0,2384.4018872053866,2747.0,1405.6,-83.59811279461337,83.59811279461337,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,1,2024-01-08,2024-02-06,3,2024-02-27,8,2367.0,3494.5737950937955,2747.0,1405.6,1127.5737950937955,1127.5737950937955,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,2,2024-01-08,2024-02-06,1,2024-02-13,8,3284.0,3756.9694298849295,3248.0,1770.8,472.96942988492947,472.96942988492947,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,2,2024-01-08,2024-02-06,2,2024-02-20,8,2683.0,2252.4584460724454,3248.0,1770.8,-430.54155392755456,430.54155392755456,held_out_cv_fold_aggregate_primary
2324,paper_informed_nonreactive,Extra Trees,2,2024-01-08,2024-02-06,3,2024-02-27,8,3913.0,2834.910449911744,3248.0,1770.8,-1078.0895500882561,1078.0895500882561,held_out_cv_fold_aggregate_primary
