season,date,n_weather_records,tmean_2m_c,tmin_2m_c,tmax_2m_c,tmean_60cm_c,soil_temp_mean_c,rh_mean_pct,rainfall_in,wind_speed_mean_mph,solar_radiation_mean_wm2,solar_radiation_sum_wm2_records,dew_point_mean_c,gdd_base_10_c,weather_date,tmean_2m_c_3d_mean,tmean_2m_c_7d_mean,tmean_2m_c_14d_mean,soil_temp_mean_c_3d_mean,soil_temp_mean_c_7d_mean,soil_temp_mean_c_14d_mean,rh_mean_pct_3d_mean,rh_mean_pct_7d_mean,rh_mean_pct_14d_mean,rainfall_in_3d_sum,rainfall_in_7d_sum,rainfall_in_14d_sum,solar_radiation_mean_wm2_3d_mean,solar_radiation_mean_wm2_7d_mean,solar_radiation_mean_wm2_14d_mean,solar_radiation_sum_wm2_records_3d_sum,solar_radiation_sum_wm2_records_7d_sum,solar_radiation_sum_wm2_records_14d_sum,gdd_base_10_c_3d_sum,gdd_base_10_c_7d_sum,gdd_base_10_c_14d_sum,cumulative_gdd_base_10_c,cumulative_rainfall_in,cumulative_solar_radiation_sum_wm2_records
2425,2025-02-17,96,12.2171875,6.15,17.87,12.598020833333335,15.776666666666666,70.971875,0.0,5.258854166666667,207.18052631578948,19682.15,6.7004166666666665,2.2171874999999996,2025-02-17,17.216979166666665,19.2221875,18.93463541666667,18.916944444444443,20.495595238095238,20.650364583333335,77.84482638888888,79.46041666666666,79.92247767857143,0.26,0.52,0.52,138.88253654970757,134.60018843984963,145.5303323151629,39790.99,90122.98999999999,195264.43,21.650937499999998,64.5553125,125.08489583333333,203.6985416666666,3.17,592597.58
2425,2025-02-18,96,13.672291666666666,4.14,22.46,13.997291666666667,15.685,72.63135416666667,0.0,3.9014583333333337,197.635,18972.96,8.312604166666667,3.6722916666666663,2025-02-18,14.752430555555554,18.344404761904766,18.536153273809525,17.124097222222222,19.687589285714285,20.294620535714284,76.06618055555555,78.04586309523809,79.30151785714285,0.25,0.52,0.52,158.20080043859647,148.17593248746866,148.38477427944864,45354.649999999994,99245.89,199100.80000000002,14.257291666666665,58.410833333333336,119.50614583333333,207.37083333333328,3.17,611570.5399999999
2425,2025-02-19,96,15.593333333333334,12.82,19.27,15.958125,17.2259375,90.52083333333333,0.17,4.460625,37.102604166666666,3561.85,14.040729166666667,5.593333333333334,2025-02-19,13.827604166666665,17.445714285714285,18.31530505952381,16.22920138888889,19.00813988095238,20.07436011904762,78.04135416666666,79.79686011904762,80.36700148809523,0.17,0.6900000000000001,0.6900000000000001,147.30604349415202,131.62579855889723,139.09176832706765,42216.96,88124.20000000001,186611.00000000003,11.4828125,52.120000000000005,116.41427083333333,212.9641666666666,3.34,615132.3899999999
2425,2025-02-20,96,11.767604166666667,6.18,16.81,12.212916666666667,15.488645833333335,75.38729166666667,0.0,7.179583333333333,163.27791666666667,15674.68,7.268020833333334,1.7676041666666666,2025-02-20,13.677743055555553,15.813392857142858,17.728125000000002,16.133194444444445,17.899166666666666,19.650431547619046,79.51315972222223,78.89425595238095,80.27756696428571,0.17,0.43000000000000005,0.6900000000000001,132.67184027777776,133.68846224937343,139.40532487468673,38209.49,89510.31,187032.42,11.033229166666667,40.69375000000001,108.19375000000001,214.7317708333333,3.34,630807.07
2425,2025-02-21,96,7.066770833333333,1.5,13.7,7.476041666666667,11.6725,59.965,0.0,7.583749999999999,208.09895833333334,19977.5,-0.42010416666666667,0.0,2025-02-21,11.475902777777776,14.250133928571428,16.893080357142857,14.795694444444445,16.688988095238095,18.973861607142855,75.29104166666666,76.00556547619047,78.56076636904761,0.17,0.43000000000000005,0.6900000000000001,136.15982638888886,146.10886983082705,144.87083826754386,39214.03,97977.98,194378.07,7.3609375,32.68416666666667,99.43635416666667,214.7317708333333,3.34,650784.57
2425,2025-02-22,96,12.027395833333335,5.64,19.57,12.256770833333334,13.634583333333333,75.56479166666666,0.0,3.0812500000000003,118.02947916666666,11330.83,7.5815625,2.027395833333335,2025-02-22,10.287256944444444,12.95891369047619,16.464077380952382,13.598576388888889,15.627708333333333,18.45673363095238,70.30569444444444,75.66235119047619,78.15861607142857,0.0,0.42000000000000004,0.6900000000000001,163.13545138888887,143.01590852130326,141.61979660087718,46983.01,95899.51,190008.66999999998,3.7950000000000017,23.645625000000003,93.4303125,216.75916666666663,3.34,662115.3999999999
2425,2025-02-23,96,14.667187499999999,5.71,23.28,15.009583333333333,16.453125,72.80510416666667,0.0,2.25625,193.43395833333332,18569.66,9.143333333333333,4.667187499999999,2025-02-23,11.253784722222221,12.430252976190475,16.211212797619048,13.920069444444444,15.133779761904762,18.147872023809523,69.44496527777778,73.97803571428572,77.67061755952382,0.0,0.17,0.6900000000000001,173.18746527777776,160.67977756892228,142.61107636278194,49877.99,107769.63,191340.94999999998,6.694583333333334,19.945,89.89020833333333,221.42635416666664,3.34,680685.0599999999
2425,2025-02-24,96,13.523229166666667,12.27,15.1,13.83,15.688333333333333,92.44687499999999,0.71,4.266041666666667,18.942395833333332,1818.47,12.315833333333332,3.523229166666667,2025-02-24,13.405937499999999,12.616830357142858,15.91950892857143,15.258680555555555,15.121160714285713,17.808377976190478,80.27225694444444,77.04589285714285,78.25315476190475,0.71,0.88,1.4,110.13527777777773,133.78861607142855,134.1944022556391,31718.96,89905.95,180028.94,10.2178125,21.251041666666666,85.80635416666667,224.9495833333333,4.05,682503.5299999999
2425,2025-02-25,96,16.063958333333336,12.96,23.0,16.434895833333332,16.9678125,83.21041666666666,0.0,4.188645833333333,150.1683157894737,14265.99,12.969791666666666,6.063958333333336,2025-02-25,14.751458333333332,12.958497023809525,15.651450892857142,16.369756944444443,15.304419642857145,17.496004464285715,82.82079861111112,78.55718749999998,78.30152529761905,0.71,0.88,1.4,120.84822331871344,127.00766118421052,137.5917968358396,34654.119999999995,85198.98,184444.87,14.254375000000001,23.642708333333335,82.05354166666667,231.01354166666664,4.05,696769.5199999999
2425,2025-02-26,96,17.139062499999998,8.14,26.86,17.257916666666667,17.4190625,66.61020833333333,0.0,2.4118749999999998,212.98958333333334,20447.0,9.313437500000001,7.139062499999998,2025-02-26,15.575416666666664,13.179315476190478,15.31251488095238,16.691736111111112,15.332008928571428,17.170074404761902,80.75583333333333,75.14138392857141,77.46912202380952,0.71,0.71,1.4,127.3667649853801,152.13437249373433,141.88008552631578,36531.46,102084.12999999999,190208.33,16.72625,25.188437500000003,77.3084375,238.15260416666663,4.05,717216.5199999999
2425,2025-02-27,96,17.300520833333334,8.63,26.91,17.61520833333333,18.14979166666667,72.52052083333334,0.0,4.8890625000000005,176.76010416666668,16968.97,11.725520833333334,7.300520833333334,2025-02-27,16.83451388888889,13.969732142857142,14.891562500000001,17.512222222222224,15.71217261904762,16.805669642857143,74.11371527777777,74.73184523809525,76.8130505952381,0.0,0.71,1.1400000000000001,179.97266776315792,154.06039927944863,143.87443076441102,51681.96,103378.42,192888.72999999998,20.503541666666667,30.721354166666668,71.41510416666668,245.45312499999997,4.05,734185.4899999999
2425,2025-02-28,96,17.262083333333333,10.01,24.91,17.513854166666665,18.841874999999998,60.16833333333333,0.0,3.8932291666666665,221.28822916666664,21243.67,7.888333333333333,7.262083333333333,2025-02-28,17.233888888888888,15.426205357142857,14.838169642857142,18.136909722222224,16.736369047619046,16.712678571428572,66.43302083333333,74.76089285714285,75.38322916666667,0.0,0.71,1.1400000000000001,203.67930555555554,155.94458082706768,151.02672532894735,58659.64,104644.59,202622.57,21.701666666666664,37.9834375,70.66760416666668,252.7152083333333,4.05,755429.1599999999
2425,2025-03-01,96,15.179791666666667,5.91,25.51,15.4553125,18.150625,68.68124999999999,0.0,5.034895833333334,204.05177083333334,19588.97,8.248229166666667,5.179791666666667,2025-03-01,16.58079861111111,15.876547619047617,14.417730654761906,18.38076388888889,17.381517857142857,16.504613095238096,67.12336805555555,73.77752976190474,74.71994047619047,0.0,0.71,1.13,200.7000347222222,168.23347963659148,155.62469407894736,57801.61,112902.73,208802.24000000002,19.742395833333333,41.13583333333333,64.78145833333333,257.895,4.05,775018.1299999999
2425,2025-03-02,96,16.0046875,10.34,22.02,16.386979166666666,19.111250000000002,66.34864583333334,0.0,5.535208333333333,223.7223958333333,21477.35,8.405520833333332,6.004687499999999,2025-03-02,16.148854166666663,16.067619047619047,14.24893601190476,18.70125,17.76125,16.44751488095238,65.06607638888889,72.85517857142857,73.41660714285715,0.0,0.71,0.88,216.3541319444444,172.5603992794486,166.62008842418547,62309.99,115810.42000000001,223580.05,18.4465625,42.47333333333333,62.41833333333334,263.89968749999997,4.05,796495.4799999999
2425,2025-03-03,96,15.175104166666666,8.6,23.82,15.490208333333333,18.209479166666664,69.30229166666668,0.0,5.163125,205.11239583333335,19690.79,9.233437499999999,5.1751041666666655,2025-03-03,15.453194444444442,16.30360119047619,14.460215773809523,18.49045138888889,18.121413690476192,16.62128720238095,68.11072916666666,69.54880952380952,73.29735119047619,0.0,0.0,0.88,210.9621875,199.1561135651629,166.47236481829572,60757.11,133682.74,223588.68999999997,16.359583333333333,44.12520833333333,65.37625,269.0747916666666,4.05,816186.2699999999
2425,2025-03-04,96,19.003645833333334,10.34,26.15,19.199895833333333,20.07875,72.18635416666667,0.0,5.668125,185.6057291666667,17818.15,13.371354166666668,9.003645833333334,2025-03-04,16.7278125,16.723556547619047,14.841026785714286,19.13315972222222,18.56583333333333,16.93512648809524,69.27909722222223,67.97394345238095,73.26556547619047,0.0,0.0,0.88,204.8135069444444,204.2186011904762,165.61313118734338,58986.29,137234.9,222433.88,20.183437499999997,47.06489583333333,70.70760416666667,278.07843749999995,4.05,834004.4199999999
2425,2025-03-05,96,20.24052083333333,15.92,24.52,20.626562500000002,20.4265625,72.00552083333334,0.1,14.517604166666667,141.5659375,13590.33,14.812708333333333,10.240520833333331,2025-03-05,18.139756944444443,17.166622023809524,15.172968749999999,19.571597222222223,18.99547619047619,17.163742559523808,71.16472222222222,68.74470238095238,71.94304315476191,0.1,0.1,0.8099999999999999,177.42802083333333,194.01522321428573,173.07479785401003,51099.270000000004,130378.23,232462.36,24.41927083333333,50.166354166666665,75.35479166666666,288.3189583333333,4.1499999999999995,847594.7499999999
2425,2025-03-06,96,14.0396875,7.25,20.42,14.368229166666666,17.728020833333332,47.29791666666667,0.04,8.1165625,238.5334375,22899.21,2.2784375,4.039687499999999,2025-03-06,17.761284722222218,16.70078869047619,15.335260416666666,19.41111111111111,18.935223214285713,17.323697916666667,63.829930555555556,65.14147321428571,69.93665922619047,0.14,0.14,0.85,188.56836805555554,202.83998511904764,178.4501921992481,54307.69,136308.47,239686.88999999998,23.283854166666664,46.90552083333333,77.626875,292.3586458333333,4.1899999999999995,870493.9599999998
2425,2025-03-07,96,12.52375,2.84,23.98,12.664895833333333,17.484375,57.194583333333334,0.0,3.2885416666666667,238.85968749999998,22930.53,2.0272916666666667,2.5237499999999997,2025-03-07,15.601319444444442,16.02388392857143,15.725044642857142,18.546319444444446,18.741294642857145,17.738831845238096,58.83267361111111,64.71665178571429,69.73877232142857,0.14,0.14,0.85,206.31968749999996,205.35019345238098,180.6473871397243,59420.07,137995.33000000002,242639.91999999998,16.80395833333333,42.1671875,80.15062499999999,294.8823958333333,4.1899999999999995,893424.4899999999
2425,2025-03-08,96,14.0875,5.09,20.89,14.2821875,16.761875,85.44375000000001,0.12,2.9573958333333334,68.75,6600.0,11.679375,4.0875,2025-03-08,13.550312499999999,15.867842261904759,15.87219494047619,17.32475694444444,18.542901785714285,17.96220982142857,63.31208333333334,67.11129464285715,70.44441220238096,0.16,0.26,0.97,182.0477083333333,186.02136904761906,177.12742434210526,52429.74,125006.36,237909.09,10.6509375,41.07489583333333,82.21072916666665,298.9698958333333,4.31,900024.4899999999
2425,2025-03-09,93,18.74290322580645,14.36,24.25,19.1005376344086,19.078279569892473,87.21139784946236,0.01,2.96741935483871,87.3621505376344,8124.68,16.476989247311828,8.742903225806451,2025-03-09,15.118051075268816,16.25901593701997,16.16331749231951,17.77484318996416,18.53819172427035,18.149720862135176,76.6165770609319,70.09168778801843,71.47343317972351,0.13,0.27,0.98,131.6572793458781,166.54133400537634,169.55086664241247,37655.21,111653.69,227464.11,15.354153225806451,43.81311155913978,86.28644489247311,307.71279905913974,4.319999999999999,908149.1699999999
2425,2025-03-10,95,19.29336842105263,13.84,23.44,19.741894736842106,19.737894736842104,78.21147368421053,1.1,11.182842105263159,160.83642105263158,15279.46,15.225368421052632,9.29336842105263,2025-03-10,17.374590548953027,16.84733940193225,16.57547029620422,18.526016435578196,18.756536805723986,18.43897524810009,83.62220717789097,71.36442807623898,70.45661880002424,1.23,1.37,1.37,105.64952386342198,160.21619475099035,179.68615415807662,30004.14,107242.36,240925.1,22.123771646859083,47.93137581352575,92.05658414685908,317.00616748019235,5.42,923428.6299999999
2425,2025-03-11,96,16.138020833333332,7.68,25.64,16.335729166666667,17.250729166666666,57.3315625,0.0,5.247708333333334,247.20427083333334,23731.61,6.1710416666666665,6.138020833333332,2025-03-11,18.058097493397472,16.437964401932252,16.580760474775648,18.68896782446708,18.35253382953351,18.45918358143342,74.2514780112243,69.24231498100089,68.60812921669093,1.1099999999999999,1.37,1.37,165.13428080786642,169.01598641765705,186.6172938040666,47135.75,113155.81999999999,250390.72,24.174292480192413,45.065750813525746,92.13064664685908,323.14418831352566,5.42,947160.2399999999
2425,2025-03-12,96,15.736666666666666,6.18,26.13,15.961458333333333,18.373958333333334,63.90166666666667,0.0,4.3680208333333335,249.11229166666666,23914.78,7.433020833333334,5.736666666666666,2025-03-12,17.056018640350874,15.794556663837012,16.480589343823265,18.454194078947367,18.059304662866843,18.52739042667152,66.48156761695907,68.08462152861993,68.41466195478617,1.1,1.27,1.37,219.0509945175438,184.37975129860942,189.19748725644757,62925.85,123480.27,253858.5,21.168055921052627,40.561896646859076,90.72825081352575,328.88085498019234,5.42,971075.0199999999
2425,2025-03-13,96,16.471354166666668,7.13,26.23,16.651875,19.5384375,71.80947916666666,0.0,4.2446875,244.92208333333335,23512.52,10.242083333333333,6.471354166666668,2025-03-13,16.115347222222223,16.141937616217966,16.421363153347077,18.387708333333332,18.317935615247794,18.626579414766756,64.34756944444445,71.58627331433422,68.36387326430997,0.0,1.2300000000000002,1.37,247.0795486111111,185.29241498908564,194.06620005406663,71158.91,124093.58,260402.05000000002,18.346041666666665,42.99356331352575,89.89908414685908,335.352209146859,5.42,994587.5399999999
2425,2025-03-14,96,18.3665625,9.76,28.36,18.74354166666667,21.403020833333333,73.70937500000001,0.0,3.005625,229.74041666666668,22055.08,12.829270833333332,8.3665625,2025-03-14,16.858194444444447,16.976625116217964,16.500254522394695,19.771805555555556,18.87774216286684,18.809518402861993,69.80684027777778,73.94552926671518,69.33109052621474,0.0,1.2300000000000002,1.37,241.25826388888888,183.98966201289514,194.66992773263806,69482.38,123218.13,261213.46,20.574583333333337,48.83637581352575,91.00356331352575,343.718771646859,5.42,1016642.6199999999
2425,2025-03-15,96,22.115,13.0,29.59,22.29697916666667,22.974999999999998,71.7153125,0.0,5.959895833333333,214.61833333333334,20603.36,15.941770833333335,12.114999999999998,2025-03-15,18.984305555555554,18.12341083050368,16.995626546204218,21.305486111111108,19.76533144858113,19.154116617147707,72.4113888888889,71.98432390957232,69.54780927621474,0.0,1.11,1.37,229.76027777777776,204.82799534622845,195.42468219692373,66170.96,137221.49,262227.85,26.952916666666667,56.863875813525745,97.93877164685908,355.833771646859,5.42,1037245.9799999999
2425,2025-03-16,96,21.789583333333336,16.61,24.63,22.083333333333332,22.171041666666667,84.74177083333333,0.9400000000000001,8.590104166666666,29.642021276595745,2786.35,19.082916666666666,11.789583333333336,2025-03-16,20.757048611111113,18.558650845864662,17.408833391442318,22.18302083333333,20.20715460526316,19.372673164766756,76.72215277777777,71.63152005012532,70.86160391907188,0.9400000000000001,2.04,2.31,158.00025709219855,196.58226259465155,181.56179830001392,45444.79,131883.16,243536.85,32.271145833333335,59.910555921052634,103.72366748019242,367.62335498019235,6.36,1040032.3299999998
2425,2025-03-17,96,15.752916666666666,11.05,20.39,16.010416666666668,17.91541666666667,53.56375,0.01,8.282708333333334,260.5386458333333,25011.71,5.308020833333333,5.752916666666666,2025-03-17,19.885833333333334,18.052872023809524,17.450105712870887,21.02048611111111,19.9468005952381,19.351668700481042,70.00694444444444,68.11041666666667,69.73742237145282,0.9500000000000001,0.9500000000000001,2.3200000000000003,168.26633348108746,210.82543756332322,185.5208161571568,48401.42,141615.41,248857.77000000002,29.6575,56.370104166666664,104.30147998019241,373.37627164685904,6.37,1065044.0399999998
2425,2025-03-18,96,14.7025,4.97,24.91,14.689166666666667,17.449895833333333,51.326875,0.0,3.1135416666666664,262.47322916666667,25197.43,2.8934374999999997,4.702500000000001,2025-03-18,17.415000000000003,17.84779761904762,17.142881010489933,19.178784722222222,19.97525297619048,19.16389340286199,63.2107986111111,67.25260416666666,68.24745957383378,0.9500000000000001,0.9500000000000001,2.3200000000000003,184.21796542553184,213.00671732522798,191.01135187144249,52995.49,143081.23,256237.05,22.245000000000005,54.934583333333336,100.00033414685907,378.078771646859,6.37,1090241.4699999997
2425,2025-03-19,96,15.603333333333333,3.94,28.14,15.823020833333333,19.2840625,59.1471875,0.0,2.8578125,262.64635416666664,25214.05,5.411666666666666,5.6033333333333335,2025-03-19,15.352916666666667,17.828750000000003,16.811653331918507,18.216458333333335,20.105267857142856,19.08228626000485,54.67927083333333,66.57339285714286,67.32900719288139,0.01,0.9500000000000001,2.22,261.88607638888885,214.94015482522795,199.65995306191869,75423.19,144380.5,267860.77,16.05875,54.80125,95.3631466468591,383.6821049801924,6.37,1115455.5199999998
2425,2025-03-20,96,16.036458333333332,8.29,25.58,16.165208333333332,19.265520833333333,75.15135416666666,0.0,9.554270833333334,178.67135416666667,17152.45,11.307604166666666,6.036458333333332,2025-03-20,15.447430555555556,17.766622023809525,16.954279820013745,18.666493055555556,20.06627976190476,19.19210768857628,61.87513888888888,67.05080357142857,69.3185384428814,0.0,0.9500000000000001,2.18,234.5969791666666,205.47576494427557,195.38408996668062,67563.93,138020.43,262114.01,16.342291666666668,54.36635416666667,97.35991748019242,389.7185633135257,6.37,1132607.9699999997
2425,2025-03-21,96,11.946145833333333,4.11,19.21,12.301979166666667,18.070208333333333,52.278124999999996,0.0,5.101145833333333,272.36400000000003,25874.58,1.7747916666666665,1.9461458333333326,2025-03-21,14.528645833333334,16.849419642857143,16.913022379537555,18.87326388888889,19.590163690476192,19.233952926671517,62.19222222222222,63.989196428571425,68.9673628476433,0.0,0.9500000000000001,2.18,237.89390277777775,211.56484827760892,197.77725514525204,68241.08,141839.93,265058.06,13.585937499999998,47.9459375,96.78231331352575,391.664709146859,6.37,1158482.5499999998
2425,2025-03-22,96,12.45875,2.41,23.09,12.779270833333333,18.080625,67.656875,0.0,3.6821875,256.109375,24586.5,5.5140625000000005,2.45875,2025-03-22,13.48045138888889,15.469955357142856,16.79668309382327,18.472118055555555,18.890967261904763,19.328149355242946,65.02878472222221,63.40941964285714,67.69687177621473,0.0,0.9500000000000001,2.0600000000000005,235.7149097222222,217.49213994427558,211.16006764525204,67613.53,145823.07,283044.56,10.441354166666665,38.2896875,95.15356331352574,394.12345914685903,6.37,1183069.0499999998
2425,2025-03-23,96,15.72375,5.47,26.87,15.912395833333333,19.317083333333333,66.78625,0.0,3.0700000000000003,236.83302083333334,22735.97,8.101458333333333,5.723750000000001,2025-03-23,13.37621527777778,14.603407738095239,16.58102929197995,18.489305555555557,18.483258928571427,19.345206766917293,62.240416666666654,60.84434523809523,66.23793264411027,0.0,0.01,2.0500000000000003,255.1021319444444,247.09085416666667,221.8365583806591,73197.05,165772.69,297655.85000000003,10.128645833333334,32.22385416666666,92.1344100877193,399.84720914685903,6.37,1205805.0199999998
2425,2025-03-24,96,18.514791666666667,11.97,26.12,18.791458333333335,20.684583333333332,79.00979166666666,0.0,4.1970833333333335,134.51979166666666,12913.9,14.659791666666665,8.514791666666667,2025-03-24,15.56576388888889,14.997961309523811,16.525416666666665,19.360763888888886,18.878854166666667,19.412827380952383,71.15097222222221,64.47949404761904,66.29495535714287,0.0,0.0,0.9500000000000001,209.15406249999998,229.08816071428572,219.95679913880446,60236.37,153674.88,295290.29,16.69729166666667,34.985729166666665,91.35583333333334,408.3620008135257,6.37,1218718.9199999997
