season,recommended_plot_model,plot_mae_g,plot_improvement_pct_vs_last_observed,recommended_aggregate_model,aggregate_mae_g,aggregate_improvement_pct_vs_last_observed,uncertainty_coverage_pct,mean_interval_width_g,top_driver_groups,paper_context,stakeholder_message
2324,Extra Trees,108.34541677886338,19.744135719360457,Random Forest,382.46336954033626,28.306041700761764,75.0,354.65641133223943,Phenology counts (48.2%); Canopy structure (46.5%); Cultivar / plot context (5.3%),Paper MAE nan; independent audit MAE 108.3. Not apples-to-apples.,"Learned models beat reactive baselines within-season; use aggregate curves for volume planning, with uncertainty bands and data caveats."
2425,Random Forest,24.22136872583435,28.325892433262524,Gradient Boosting,54.98494103213851,75.4586293094673,75.625,67.3585074305753,Phenology counts (65.3%); Canopy structure (32.0%); Cultivar / plot context (2.7%),Paper MAE nan; independent audit MAE 24.2. Not apples-to-apples.,"Learned models beat reactive baselines within-season; use aggregate curves for volume planning, with uncertainty bands and data caveats."
