task_id,task_label,model_id,model_label,forecast_origin_date,origin_sequence,season_phase,n_training_rows,n_current_season_training_rows,n_predictions,n_model_features
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-01-15,2,early season,320,40,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-01-15,2,early season,320,40,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-01-15,2,early season,320,40,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-01-15,2,early season,320,40,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-24,3,mid season,360,80,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-24,3,mid season,360,80,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-01-24,3,mid season,360,80,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-01-24,3,mid season,360,80,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-01-24,3,mid season,360,80,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-01-24,3,mid season,360,80,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-01-24,3,mid season,360,80,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-01-24,3,mid season,360,80,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-29,4,mid season,399,119,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-29,4,mid season,399,119,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-01-29,4,mid season,399,119,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-01-29,4,mid season,399,119,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-01-29,4,mid season,399,119,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-01-29,4,mid season,399,119,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-01-29,4,mid season,399,119,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-01-29,4,mid season,399,119,39,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-05,5,mid season,438,158,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-05,5,mid season,438,158,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-02-05,5,mid season,438,158,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-02-05,5,mid season,438,158,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-02-05,5,mid season,438,158,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-02-05,5,mid season,438,158,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-02-05,5,mid season,438,158,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-02-05,5,mid season,438,158,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-12,6,late season,478,198,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-12,6,late season,478,198,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-02-12,6,late season,478,198,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-02-12,6,late season,478,198,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-02-12,6,late season,478,198,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-02-12,6,late season,478,198,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-02-12,6,late season,478,198,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-02-12,6,late season,478,198,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-20,7,late season,518,238,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-20,7,late season,518,238,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-02-20,7,late season,518,238,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-02-20,7,late season,518,238,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-02-20,7,late season,518,238,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-02-20,7,late season,518,238,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-02-20,7,late season,518,238,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-02-20,7,late season,518,238,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-02-26,8,late season,558,278,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-02-26,8,late season,558,278,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-02-26,8,late season,558,278,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-02-26,8,late season,558,278,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-02-26,8,late season,558,278,40,101
