task_id,task_label,model_id,model_label,forecast_origin_date,origin_sequence,season_phase,n_training_rows,n_current_season_training_rows,n_predictions,n_model_features
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-20,7,late season,518,238,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-20,7,late season,518,238,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-02-20,7,late season,518,238,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-02-20,7,late season,518,238,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-02-20,7,late season,518,238,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-02-20,7,late season,518,238,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-02-20,7,late season,518,238,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-02-20,7,late season,518,238,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,persistence,Persistence / no-change baseline,2025-02-26,8,late season,558,278,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,rolling_mean,Rolling mean baseline,2025-02-26,8,late season,558,278,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,ridge,Ridge regression,2025-02-26,8,late season,558,278,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,elasticnet,ElasticNet regression,2025-02-26,8,late season,558,278,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,random_forest,Random Forest,2025-02-26,8,late season,558,278,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,extra_trees,Extra Trees,2025-02-26,8,late season,558,278,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,gradient_boosting,Gradient Boosting,2025-02-26,8,late season,558,278,40,101
plot_next_current_state,Plot-level next yield · current-state upper bound,hist_gradient_boosting,HistGradientBoosting,2025-02-26,8,late season,558,278,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-07,1,early season,280,0,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-07,1,early season,280,0,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-01-07,1,early season,280,0,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-01-07,1,early season,280,0,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,random_forest,Random Forest,2025-01-07,1,early season,280,0,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,extra_trees,Extra Trees,2025-01-07,1,early season,280,0,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,gradient_boosting,Gradient Boosting,2025-01-07,1,early season,280,0,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,hist_gradient_boosting,HistGradientBoosting,2025-01-07,1,early season,280,0,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,persistence,Persistence / no-change baseline,2025-01-15,2,early season,320,40,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,rolling_mean,Rolling mean baseline,2025-01-15,2,early season,320,40,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,ridge,Ridge regression,2025-01-15,2,early season,320,40,40,101
plot_delta_current_state,Plot-level delta-to-next · current-state model,elasticnet,ElasticNet regression,2025-01-15,2,early season,320,40,40,101
