model_id,model_label,model_type,n_predictions,n_predictions_raw,n_predictions_dropped_nan,n_model_features,median_training_rows,feature_to_training_row_ratio,mae,rmse,r2,bias,mean_observed,mae_pct_of_mean_observed,mae_improvement_vs_persistence,mae_improvement_pct_vs_persistence
M3,+ leading crop indicators RF,random_forest,64,64,0,16,109.0,0.14678899082568808,18.66515250143107,24.538471314333222,0.1150972778418844,5.251627177006739,36.633750000000006,50.95070120157251,1.1106808319022612,5.616354128703862
M6,Full raw RF reference,random_forest_reference,64,64,0,80,109.0,0.7339449541284404,18.66532720324716,24.13110404747086,0.1442342359716865,1.8890989427801559,36.633750000000006,50.951178089185944,1.110506130086172,5.615470718062478
M5,Compact crop/weather + tagged-fruit RF,random_forest,64,64,0,23,109.0,0.21100917431192662,19.476114525156603,26.037616088968218,0.0036705626481418063,6.430363706312401,36.633750000000006,53.16440311231201,0.2997188081767277,1.515581179942157
M4,Compact crop/weather RF,random_forest,64,64,0,18,109.0,0.1651376146788991,19.59076222458063,26.048767166029535,0.002816987930984838,6.471530182802577,36.633750000000006,53.47735960577508,0.18507110875270172,0.935844804278126
M0,Persistence baseline,baseline_rule,60,64,4,1,111.0,0.009009009009009009,19.77583333333333,26.8698787058421,-0.035055863227620554,-0.9988333333333332,37.821,52.28797052783727,0.0,0.0
M2,+ weather / GDD RF,random_forest,64,64,0,9,109.0,0.08256880733944955,21.238172576615472,28.325310666006924,-0.17909795782085247,10.688447261400249,36.633750000000006,57.974333986052386,-1.4623392432821412,-7.394577101422485
M0b,Treatment mean baseline,baseline_rule,64,64,0,1,109.0,0.009174311926605505,21.58185400222307,27.461412184911875,-0.10827173460027373,9.816963088706853,36.633750000000006,58.91248917247911,-1.8060206688897402,-9.132463034291385
M1,Calendar + nitrogen RF,random_forest,64,64,0,3,109.0,0.027522935779816515,25.586386873759242,35.50503344256923,-0.8525945225098943,15.391836494483012,36.633750000000006,69.8437557546231,-5.810553540425911,-29.38209198310688
