n_predictions,mae,rmse,r2,bias,mean_observed,mae_pct_of_mean_observed,model,model_label,current_observation_date,n_current_year_training_rows
2,14.959748644909368,18.44060308903466,-20.25349014295718,14.959748644909368,14.559999999999999,102.74552640734458,rolling_crop_development_rf,Rolling crop development random forest,2023-07-29,0
3,16.48616090983121,18.260761497999486,-72.65599277408113,16.48616090983121,14.4,114.48722854049451,rolling_crop_development_rf,Rolling crop development random forest,2023-08-01,2
3,7.498649854587817,10.175473480312569,-1.3170729974297064,-7.498649854587817,28.27,26.525114448488917,rolling_crop_development_rf,Rolling crop development random forest,2023-08-04,5
4,31.109982425988175,33.96914505258734,-6.326846235682206,-31.109982425988175,55.25,56.307660499526115,rolling_crop_development_rf,Rolling crop development random forest,2023-08-07,8
4,26.418171175202772,35.70631292454701,-0.7680049701492093,-12.039854778678679,59.975,44.048638891542765,rolling_crop_development_rf,Rolling crop development random forest,2023-08-11,12
4,14.179184850695888,19.90847296951095,0.2569476227875046,-13.09653092239335,70.64,20.072458735413203,rolling_crop_development_rf,Rolling crop development random forest,2023-08-13,16
4,7.2739488177404015,8.472981436929777,0.8762133903482697,-7.2739488177404015,70.6675,10.293202416585277,rolling_crop_development_rf,Rolling crop development random forest,2023-08-17,20
4,44.82202998201848,47.60358882402142,-5.955244846844625,44.82202998201848,29.6775,151.03034279173946,rolling_crop_development_rf,Rolling crop development random forest,2023-08-21,24
4,5.93694110847668,6.3810025978330005,0.828910887698114,-3.0809009260390754,42.205,14.066914129787184,rolling_crop_development_rf,Rolling crop development random forest,2023-08-24,28
4,9.128473168348293,10.052529646201965,-0.2514065175500384,-5.237725558478188,46.2625,19.731906335257047,rolling_crop_development_rf,Rolling crop development random forest,2023-08-27,32
4,23.87286204459187,29.83981051448041,0.16775343881877147,-4.335780126224405,43.215,55.24207345734552,rolling_crop_development_rf,Rolling crop development random forest,2023-08-31,36
4,31.246811846773664,38.10549158093649,-6.046252565710398,31.246811846773664,16.925,184.6192723590763,rolling_crop_development_rf,Rolling crop development random forest,2023-09-05,40
4,23.772269834530547,25.06201868245106,-3.4821254606624477,23.772269834530547,23.705,100.28377909525648,rolling_crop_development_rf,Rolling crop development random forest,2023-09-09,44
4,25.951994705456784,29.18285939901157,-7.624494941779712,25.951994705456784,15.5175,167.24340071182073,rolling_crop_development_rf,Rolling crop development random forest,2023-09-13,48
4,9.110451952038922,9.68113064306699,0.5049744409430004,9.110451952038922,22.775,40.00198442168571,rolling_crop_development_rf,Rolling crop development random forest,2023-09-17,52
4,16.24743081338234,17.761241005813062,-1.2504408747293865,16.24743081338234,16.235,100.0765679912679,rolling_crop_development_rf,Rolling crop development random forest,2023-09-21,56
4,15.799781912016956,20.690666776951836,0.346853428321235,-0.8002388587946729,33.8075,46.73454680771118,rolling_crop_development_rf,Rolling crop development random forest,2023-09-24,60
2,32.630096296688045,32.6486239017328,-65.6207901672999,32.630096296688045,14.559999999999999,224.10780423549483,rolling_crop_development_ridge,Rolling crop development linear model,2023-07-29,0
3,10.346403326497695,10.510953180547688,-23.40363508651384,-2.084133842012003,14.4,71.85002310067844,rolling_crop_development_ridge,Rolling crop development linear model,2023-08-01,2
3,25.995571198193073,27.543380446753808,-15.977156198045467,-25.995571198193073,28.27,91.95462043931049,rolling_crop_development_ridge,Rolling crop development linear model,2023-08-04,5
4,44.18835872177957,47.20293461395094,-13.147700047488366,-44.18835872177957,55.25,79.9789298131757,rolling_crop_development_ridge,Rolling crop development linear model,2023-08-07,8
4,26.89706917820748,33.780053052064396,-0.582392160399315,-18.34146276040581,59.975,44.84713493656937,rolling_crop_development_ridge,Rolling crop development linear model,2023-08-11,12
4,22.284929359673047,24.32324535608046,-0.1091405151947884,-16.188303618074908,70.64,31.54718199274214,rolling_crop_development_ridge,Rolling crop development linear model,2023-08-13,16
