n_predictions,mae,rmse,r2,bias,mean_observed,mae_pct_of_mean_observed,model,model_label,forecast_mode,test_year,mae_improvement_vs_persistence,mae_improvement_pct_vs_persistence
64,19.39617606456442,25.57110882671372,0.039052536863644516,5.524783395859438,36.633750000000006,52.946193235921555,rolling_crop_development_rf,Rolling crop development random forest,rolling_in_season,2023,1.0790557372122613,5.270053827271588
64,20.47523180177668,27.265809232065326,-0.0925399015425088,0.9989818017766785,36.633750000000006,55.89171679606012,rolling_persistence,Rolling persistence baseline,rolling_in_season,2023,0.0,0.0
64,21.58185400222307,27.461412184911875,-0.10827173460027373,9.816963088706853,36.633750000000006,58.91248917247911,rolling_treatment_mean,Rolling treatment mean baseline,rolling_in_season,2023,-1.1066222004463917,-5.404687044130888
64,22.80421772849617,28.41715328639603,-0.1867566211783953,2.0242237963056744,36.633750000000006,62.24920388575062,rolling_crop_development_ridge,Rolling crop development linear model,rolling_in_season,2023,-2.32898592671949,-11.374649866075748
64,23.301949847952244,28.326639412024313,-0.1792085838599915,13.223866947877118,36.633750000000006,63.60787483659806,rolling_weather_gdd_ridge,Rolling weather + GDD linear model,rolling_in_season,2023,-2.8267180461755643,-13.805548447711757
