year,nitrogen_treatment,n_rows,n_target_non_missing,mean_next_fresh_matter_g,median_next_fresh_matter_g,std_next_fresh_matter_g,p10_next_fresh_matter_g,p90_next_fresh_matter_g,mean_current_fresh_matter_g,median_current_fresh_matter_g,mean_current_fruit_number,median_current_fruit_number,mean_cumulative_gdd,mean_cumulative_solar_radiation,mean_tmean_7d,mean_solar_radiation_7d
2022,0N,16,16,13.905625,6.805000000000001,13.494044102862565,2.605,29.39,14.740833333333335,13.655,1.9375,1.0,1500.7151926372126,555.4518128058003,23.203953083919146,5.131691465851716
2022,100N,22,22,79.73872727272727,70.395,48.45167687321916,28.643,145.40500000000003,80.8700909090909,70.395,10.409090909090908,9.5,1582.0120230715338,581.4718822988575,22.968083947855447,5.041239527337978
2022,150N,20,20,49.231,47.14,25.8587521374343,24.958000000000002,71.40800000000004,48.963499999999996,45.285,6.6,7.0,1534.508414736151,561.6711938476828,23.262624403473545,4.95218824009218
2022,50N,21,21,49.820952380952384,41.69,26.824698675802846,18.02,93.59,52.920500000000004,46.83,6.190476190476191,5.0,1605.1978958057891,589.0219815015837,22.810909004230695,4.976835580945764
2023,0N,17,17,18.635882352941177,17.26,15.699867459163283,3.5820000000000003,32.878,19.30125,17.91,2.823529411764706,2.0,1289.895849647642,366.7780496024177,24.604595814171716,4.063283460311202
2023,100N,16,16,47.216875,45.155,28.234047464895994,12.215,81.725,45.537333333333336,40.22,5.3125,5.5,1315.222214229742,373.7648226749353,24.444681332980732,4.052404614902716
2023,150N,14,14,47.05571428571428,41.379999999999995,26.75992402952472,21.289,87.994,47.50153846153846,41.5,5.5,4.0,1366.1964579165012,388.06562545612894,24.143807691728203,4.032007462942532
2023,50N,17,17,36.088235294117645,32.74,24.385290708563975,10.468,64.99600000000001,37.495625,35.195,4.470588235294118,3.0,1289.895849647642,366.7780496024177,24.604595814171716,4.063283460311202
