year,date,nitrogen_treatment,sample_diameter_mm_n_records,sample_diameter_mm_n_non_missing,sample_diameter_mm_mean,sample_diameter_mm_median,sample_diameter_mm_std,sample_diameter_mm_min,sample_diameter_mm_max,sample_diameter_mm_p10,sample_diameter_mm_p90,sample_length_mm_n_records,sample_length_mm_n_non_missing,sample_length_mm_mean,sample_length_mm_median,sample_length_mm_std,sample_length_mm_min,sample_length_mm_max,sample_length_mm_p10,sample_length_mm_p90,sample_individual_fruit_fresh_weight_g_n_records,sample_individual_fruit_fresh_weight_g_n_non_missing,sample_individual_fruit_fresh_weight_g_mean,sample_individual_fruit_fresh_weight_g_median,sample_individual_fruit_fresh_weight_g_std,sample_individual_fruit_fresh_weight_g_min,sample_individual_fruit_fresh_weight_g_max,sample_individual_fruit_fresh_weight_g_p10,sample_individual_fruit_fresh_weight_g_p90,sample_condition_code_n_records,sample_condition_code_n_non_missing,sample_condition_code_mean,sample_condition_code_median,sample_condition_code_std,sample_condition_code_min,sample_condition_code_max,sample_condition_code_p10,sample_condition_code_p90,n_fruit_size_samples
2022,2022-08-16,50N,7,7,23.704285714285714,23.9,3.9595111530880387,18.2,28.9,18.662,27.916,7,7,25.389999999999997,28.2,5.613507519071002,17.05,30.7,17.956,30.040000000000003,7,7,6.611428571428571,7.41,3.00762048011064,2.36,10.67,2.6959999999999997,9.494000000000002,7,0,,,,,,,,7
2022,2022-08-22,0N,1,1,25.65,25.65,,25.65,25.65,25.65,25.65,1,1,29.99,29.99,,29.99,29.99,29.99,29.99,1,1,8.46,8.46,,8.46,8.46,8.46,8.46,1,1,1.0,1.0,,1.0,1.0,1.0,1.0,1
2022,2022-08-22,100N,8,8,26.3145,27.66,3.9087077513820714,17.71,30.03,21.896,28.959,8,8,29.59,29.29,4.584881989445622,23.64,37.97,24.794999999999998,35.016,8,8,8.97125,9.585,3.1624829192085318,3.22,12.91,4.949000000000001,12.056,8,8,1.625,2.0,0.5175491695067657,1.0,2.0,1.0,2.0,8
2022,2022-08-22,150N,8,8,22.192500000000003,22.335,3.3862864194107534,16.1,25.82,18.13,25.428,8,8,23.21625,25.625,5.358445770130418,15.0,28.45,16.470000000000002,28.191,8,8,5.68,5.585,2.019816116099964,2.66,8.29,3.213,7.778999999999999,8,8,2.625,3.0,1.1877349391654208,1.0,4.0,1.0,4.0,8
2022,2022-08-22,50N,2,2,28.32,28.32,1.6546298679765223,27.15,29.49,27.384,29.256,2,2,28.745,28.745,1.0111626970967629,28.03,29.46,28.173000000000002,29.317,2,2,9.01,9.01,2.2910259710444145,7.39,10.63,7.7139999999999995,10.306000000000001,2,2,1.5,1.5,0.7071067811865476,1.0,2.0,1.1,1.9,2
2022,2022-08-30,0N,5,5,20.106,21.83,4.398145063546678,13.63,24.87,15.334000000000001,23.846,5,5,21.316,23.12,5.072142545315541,14.68,27.11,15.828,25.914,5,5,4.252,4.56,1.9112090414185465,1.88,6.68,2.272,6.12,5,5,3.8,5.0,1.788854381999832,1.0,5.0,1.8,5.0,5
2022,2022-08-30,100N,16,16,24.041875,23.52,3.505204166664191,14.77,28.71,21.29,28.205,16,16,28.728749999999998,29.25,4.587738549656028,20.74,35.36,22.915,34.129999999999995,16,16,7.7975,7.385,2.803434798005238,2.57,12.8,5.23,11.38,16,16,2.1875,2.0,1.5152007567755943,1.0,5.0,1.0,5.0,16
2022,2022-08-30,150N,7,7,20.087142857142858,19.59,1.8907821510838165,17.34,22.2,17.928,22.002,7,7,24.84857142857143,27.31,3.9020611159207848,20.27,29.25,20.624,28.278,7,7,4.7457142857142856,5.12,1.454783570877551,2.9,6.52,3.254,6.424,7,7,2.4285714285714284,2.0,1.2724180205607034,1.0,5.0,1.6,3.8000000000000007,7
2022,2022-08-30,50N,14,14,23.065714285714286,23.35,2.3556240861319178,17.54,26.82,20.913999999999998,25.416,14,14,28.278571428571432,28.41,3.6078138642564257,21.43,33.77,24.669999999999998,32.565,14,14,6.6850000000000005,6.87,1.8496933217740135,2.68,9.52,4.5520000000000005,8.938000000000002,14,14,2.0,1.5,1.3587324409735146,1.0,5.0,1.0,4.0,14
2022,2022-09-06,0N,1,1,21.37,21.37,,21.37,21.37,21.37,21.37,1,1,22.75,22.75,,22.75,22.75,22.75,22.75,1,1,4.93,4.93,,4.93,4.93,4.93,4.93,1,1,1.0,1.0,,1.0,1.0,1.0,1.0,1
2022,2022-09-06,100N,17,17,24.168823529411764,24.78,3.066985250928306,17.29,29.62,20.628,27.134,17,17,27.851176470588236,25.89,4.3542204847035215,21.37,36.18,23.446,33.884,17,17,8.09529411764706,8.13,2.15305340634835,3.84,11.42,5.042,10.224,17,17,2.2941176470588234,2.0,1.403776419268438,1.0,5.0,1.0,4.0,17
2022,2022-09-06,150N,6,6,22.80333333333333,22.195,2.236467452628512,20.37,26.38,20.805,25.41,6,6,28.991666666666664,30.465,4.023020838457919,21.69,32.79,24.505000000000003,32.004999999999995,6,6,7.4816666666666665,8.08,1.8982035366805816,4.58,9.5,5.24,9.125,6,6,2.1666666666666665,2.0,1.3291601358251257,1.0,4.0,1.0,3.5,6
2022,2022-09-06,50N,9,9,21.941111111111113,21.72,3.656991401563738,16.95,27.19,16.982,26.686,9,9,23.36333333333333,21.9,5.254726443878883,16.08,30.43,18.656,29.805999999999997,9,9,5.86,5.23,2.48954815177373,2.64,10.37,3.4560000000000004,9.002,9,9,2.3333333333333335,2.0,1.5811388300841898,1.0,5.0,1.0,4.2,9
2022,2022-09-09,0N,1,1,18.5,18.5,,18.5,18.5,18.5,18.5,1,1,17.14,17.14,,17.14,17.14,17.14,17.14,1,1,2.56,2.56,,2.56,2.56,2.56,2.56,1,1,1.0,1.0,,1.0,1.0,1.0,1.0,1
