year,date,day_of_year,days_since_weather_start,tmax_c,tmin_c,tmean_c,rhmax_pct,rhmin_pct,rhmean_pct,solar_radiation,gdd_base_10,cumulative_gdd_base_10,cumulative_solar_radiation,tmean_7d,solar_radiation_7d,rhmean_7d
2022,2022-05-24,144,0,24.45,17.98,20.913913043478257,36.3,23.4,30.278260869565216,6.865235853018029,10.913913043478257,10.913913043478257,6.865235853018029,20.913913043478257,6.865235853018029,30.278260869565216
2022,2022-05-25,145,1,20.53,18.0,19.58043478260869,58.6,35.1,50.03478260869565,0.4914217971711623,9.580434782608691,20.494347826086948,7.356657650189192,20.247173913043476,3.678328825094596,40.15652173913043
2022,2022-05-26,146,2,21.35,17.92,19.57478260869565,54.3,41.5,47.10869565217392,2.4766680623601367,9.57478260869565,30.069130434782597,9.833325712549328,20.023043478260863,3.2777752375164426,42.47391304347826
2022,2022-05-27,147,3,28.39,17.99,22.49826086956521,54.4,29.6,43.00869565217391,7.807738852070183,12.498260869565211,42.56739130434781,17.641064564619512,20.641847826086952,4.410266141154878,42.607608695652175
2022,2022-05-28,148,4,33.2,18.87,25.35347826086956,60.3,33.9,47.0391304347826,5.618344725867318,15.353478260869561,57.92086956521737,23.25940929048683,21.584173913043475,4.651881858097366,43.49391304347826
2022,2022-05-29,149,5,28.24,19.65,24.241739130434784,77.5,51.2,60.77826086956521,3.573198788883849,14.241739130434784,72.16260869565215,26.83260807937068,22.02710144927536,4.47210134656178,46.37463768115941
2022,2022-05-30,150,6,32.52,19.79,24.902608695652173,79.9,37.4,61.46521739130434,3.305483929230903,14.902608695652173,87.06521739130433,30.138092008601582,22.437888198757758,4.305441715514512,48.53043478260869
2022,2022-05-31,151,7,24.18,18.58,20.97347826086957,75.5,42.8,53.765217391304354,3.823799456595512,10.97347826086957,98.0386956521739,33.96189146519709,22.446397515527945,3.870950801739866,51.885714285714286
2022,2022-06-01,152,8,24.7,18.07,20.68478260869565,55.4,29.8,41.917391304347824,6.609745416180285,10.684782608695649,108.72347826086954,40.57163688137737,22.60416149068323,4.744997033026884,50.72608695652174
2022,2022-06-02,153,9,28.51,18.01,22.554782608695657,41.7,20.7,31.69130434782608,7.4018880146054435,12.554782608695657,121.2782608695652,47.97352489598282,23.029875776397514,5.448599883347642,48.52360248447205
2022,2022-06-03,154,10,25.14,18.06,21.04913043478261,38.8,20.2,28.78260869565218,8.484971876032432,11.049130434782612,132.32739130434783,56.45849677201525,22.822857142857142,5.545347458199392,46.49130434782609
2022,2022-06-04,155,11,25.26,18.05,21.15652173913044,52.3,33.0,40.83043478260869,6.18678038677426,11.15652173913044,143.48391304347825,62.64527715878951,22.22329192546584,5.62655255261467,45.60434782608696
2022,2022-06-05,156,12,25.9,18.32,20.82826086956522,65.5,43.9,57.9,4.329890561144917,10.82826086956522,154.31217391304347,66.97516771993443,21.735652173913046,5.734651377223393,45.193167701863345
2022,2022-06-06,157,13,28.82,18.16,22.27913043478261,75.8,32.7,54.07391304347825,6.609745416180285,12.279130434782608,166.59130434782608,73.58491313611472,21.360869565217392,6.206688732501876,44.13726708074534
2022,2022-06-07,158,14,24.28,18.47,20.82043478260869,50.9,31.8,42.48695652173912,3.560974366068646,10.82043478260869,177.41173913043477,77.14588750218337,21.339006211180127,6.169142290998038,42.52608695652173
2022,2022-06-08,159,15,29.87,18.1,23.32565217391305,54.6,21.5,38.90869565217392,7.340765900529427,13.32565217391305,190.73739130434782,84.4866534027128,21.716273291925464,6.273573788762201,42.09627329192546
2022,2022-06-09,160,16,30.12,18.19,23.866956521739127,44.5,21.9,32.31739130434783,7.339543458247907,13.866956521739127,204.60434782608695,91.8261968609607,21.903726708074533,6.264667423568268,42.18571428571429
2022,2022-06-10,161,17,31.08,18.86,23.71521739130435,53.1,22.7,38.43043478260871,5.02790510389301,13.71521739130435,218.3195652173913,96.85410196485371,22.284596273291925,5.770800741834065,43.5639751552795
2022,2022-06-11,162,18,28.74,19.59,23.253913043478256,74.5,42.6,56.88260869565217,4.54015063356641,13.253913043478256,231.57347826086956,101.39425259842012,22.584223602484474,5.535567919947228,45.857142857142854
2022,2022-06-12,163,19,28.19,19.32,22.783478260869565,69.5,50.8,62.62608695652173,4.464359212112152,12.783478260869565,244.35695652173914,105.85861181053228,22.863540372670805,5.554777727228262,46.53229813664596
2022,2022-06-13,164,20,30.29,20.18,22.95695652173913,87.0,54.0,76.34347826086959,2.640475328083857,12.95695652173913,257.31391304347824,108.49908713861613,22.960372670807455,4.987739143214486,49.7136645962733
2022,2022-06-14,165,21,37.35,22.0,29.33434782608696,88.7,34.4,60.95652173913044,6.1892252713373015,19.33434782608696,276.6482608695652,114.68831240995344,24.17664596273292,5.363203558252867,52.35217391304349
2022,2022-06-15,166,22,27.15,20.07,23.401739130434784,75.8,48.8,58.13913043478261,2.4791129469231774,13.401739130434784,290.05,117.16742535687662,24.187515527950314,4.668681707737688,55.09937888198758
2022,2022-06-16,167,23,29.46,19.51,23.831304347826087,66.6,34.6,47.81739130434784,6.22712098206443,13.831304347826087,303.8813043478261,123.39454633894105,24.18242236024845,4.509764211140048,57.31366459627329
2022,2022-06-17,168,24,31.84,19.3,25.014347826086954,63.7,27.9,44.80869565217392,8.23192632375773,15.014347826086954,318.89565217391305,131.62647266269877,24.36801242236025,4.967481528263581,58.2248447204969
2022,2022-06-18,169,25,30.84,19.09,24.743043478260866,55.4,30.9,43.31739130434782,7.976435886919986,14.743043478260866,333.6386956521739,139.60290854961875,24.580745341614907,5.458379421599804,56.286956521739135
2022,2022-06-19,170,26,37.54,21.11,28.881739130434788,49.2,35.2,42.56521739130435,7.806516409788665,18.881739130434788,352.5204347826087,147.4094249594074,25.45192546583851,5.935830449839307,53.42111801242236
2022,2022-06-20,171,27,40.7,25.8,32.751304347826085,72.2,32.5,51.126086956521725,7.577919703144366,22.751304347826085,375.27173913043475,154.98734466255178,26.851118012422358,6.641179646276521,49.81863354037267
2022,2022-06-21,172,28,34.21,22.89,28.44260869565217,83.4,26.0,52.68695652173913,7.5241322427574735,18.44260869565217,393.7143478260869,162.51147690530925,26.723726708074533,6.831880642193689,48.63726708074534
2022,2022-06-22,173,29,31.25,20.01,25.80434782608696,62.2,33.8,46.16956521739131,7.571807491736766,15.80434782608696,409.51869565217385,170.08328439704601,27.066956521739126,7.559408434309916,46.92732919254659
2022,2022-06-23,174,30,37.31,20.49,28.795217391304345,62.1,23.3,41.52173913043478,7.493571185719467,18.795217391304345,428.3139130434782,177.5768555827655,27.776086956521738,7.7403298919749215,46.02795031055901
2022,2022-06-24,175,31,35.01,20.85,28.52391304347826,70.4,38.3,50.53478260869565,6.423934189389199,18.52391304347826,446.83782608695645,184.0007897721547,28.277453416149065,7.482045301350845,46.845962732919254
2022,2022-06-25,176,32,29.07,20.65,25.116521739130437,82.4,40.1,61.07391304347826,4.534038422158809,15.116521739130437,461.9543478260869,188.5348281943135,28.330807453416153,6.990274234956392,49.382608695652166
2022,2022-06-26,177,33,25.24,19.12,21.66869565217392,54.2,33.4,42.743478260869566,6.921468197967963,11.66869565217392,473.62304347826085,195.45629639228144,27.300372670807455,6.863838776124863,49.408074534161486
2022,2022-06-27,178,34,31.05,18.17,24.163478260869564,57.9,27.5,41.06521739130435,7.606035875619334,14.163478260869564,487.7865217391304,203.06233226790079,26.07354037267081,6.867855372192716,47.97080745341615
2022,2022-06-28,179,35,31.55,19.89,24.981739130434782,66.0,32.4,47.18260869565218,6.672089972537821,14.981739130434782,502.7682608695652,209.73442224043862,25.579130434782606,6.746135047875623,47.18447204968944
2022,2022-06-29,180,36,34.42,18.55,26.0008695652174,63.8,31.5,46.68695652173914,7.280866228734933,16.0008695652174,518.7691304347826,217.01528846917356,25.607204968944103,6.704572010303932,47.2583850931677
2022,2022-06-30,181,37,35.2,22.29,28.554782608695657,71.5,34.1,46.15652173913043,5.952071468722362,18.554782608695657,537.3239130434782,222.9673599378959,25.572857142857146,6.484357765018631,47.920496894409936
2022,2022-07-01,182,38,31.23,19.68,24.96,60.8,26.0,42.869565217391305,7.547358646106359,14.96,552.2839130434783,230.51471858400225,25.06372670807454,6.6448469731210835,46.82546583850932
2022,2022-07-02,183,39,20.92,20.2,20.745217391304347,52.8,48.8,50.317391304347815,0.0,10.745217391304347,563.0291304347826,230.51471858400225,24.439254658385096,5.997127198526968,45.288819875776404
2022,2022-07-03,184,40,29.68,19.61,24.233478260869564,80.2,39.4,59.91304347826086,3.719891862666285,14.233478260869564,577.2626086956521,234.23461044666854,24.805652173913046,5.539759150626727,47.7416149068323
2022,2022-07-04,185,41,30.46,21.46,25.358695652173907,85.2,54.4,65.86086956521739,3.9484885693105833,15.358695652173907,592.621304347826,238.1830990159791,24.976397515527953,5.017252392582621,51.283850931677016
2022,2022-07-05,186,42,34.85,21.84,25.98086956521739,93.8,44.0,76.20434782608694,4.675841726815164,15.98086956521739,608.6021739130434,242.85894074279426,25.11913043478261,4.732074071765098,55.429813664596274
2022,2022-07-06,187,43,28.75,19.66,23.971304347826088,80.0,51.5,67.49130434782609,4.273658216194984,13.971304347826088,622.5734782608695,247.13259895898923,24.829192546583847,4.302472927116534,58.40186335403727
2022,2022-07-07,188,44,34.05,21.22,26.6295652173913,87.7,45.4,68.29565217391306,4.780971763025911,16.6295652173913,639.2030434782607,251.91357072201515,24.554161490683224,4.135172969159898,61.56459627329192
2022,2022-07-08,189,45,31.81,22.03,25.579565217391306,88.0,47.5,70.00000000000001,4.82375724287912,15.579565217391306,654.782608695652,256.7373279648943,24.642670807453413,3.7460870544131497,65.44037267080746
2022,2022-07-09,190,46,32.14,19.74,25.78739130434783,83.9,37.8,57.86086956521739,7.11094675160361,15.787391304347828,670.5699999999998,263.8482747164979,25.362981366459625,4.761936590356522,66.51801242236024
2022,2022-07-10,191,47,28.76,21.55,25.26391304347826,73.3,55.7,63.21739130434783,3.1734601628267107,15.263913043478261,685.8339130434781,267.0217348793246,25.510186335403723,4.683874918950869,66.99006211180124
2022,2022-07-11,192,48,32.68,21.93,26.281304347826083,89.3,33.2,62.70869565217391,5.920287969402834,16.281304347826083,702.1152173913042,272.9420228487274,25.64198757763975,4.965560547535476,66.53975155279504
2022,2022-07-12,193,49,33.3,19.7,25.045217391304345,72.5,28.8,53.27826086956521,6.272351346480682,15.045217391304345,717.1604347826086,279.21437419520805,25.508322981366458,5.193633350344835,63.26459627329193
2022,2022-07-13,194,50,29.18,19.35,23.23130434782608,79.2,42.6,62.77826086956523,7.8810853889614,13.231304347826079,730.3917391304346,287.0954595841695,25.402608695652173,5.708980089311466,62.59130434782609
2022,2022-07-14,195,51,33.04,19.0,25.249565217391304,73.3,37.0,58.04347826086958,6.931247736220125,15.249565217391304,745.6413043478259,294.0267073203896,25.20546583850932,6.016162371196354,61.12670807453417
2022,2022-07-15,196,52,34.62,21.35,27.366086956521738,77.9,39.6,59.07826086956523,6.788221989282251,17.366086956521738,763.0073913043476,300.81492930967187,25.460683229813664,6.296800192111087,59.5664596273292
2022,2022-07-16,197,53,33.03,22.2,27.101304347826083,83.7,39.0,61.286956521739135,5.338405443399169,17.101304347826083,780.1086956521737,306.153334753071,25.648385093167697,6.043580005224739,60.05590062111802
2022,2022-07-17,198,54,31.39,22.44,27.004347826086956,77.7,42.4,60.50869565217391,4.620831824146751,17.004347826086956,797.1130434782606,310.7741665772178,25.89701863354037,6.250347385413315,59.66894409937888
2022,2022-07-18,199,55,38.61,22.61,29.92695652173913,77.2,32.7,56.22173913043479,7.310204843491419,19.92695652173913,817.0399999999997,318.0843714207092,26.41782608695652,6.448906938854542,58.74223602484472
